Name,Category,Preview URL (Cover Image),Price (Credits),Description,Prompt,Negative Prompt
Dark Witch Queen,Horror,https://images.unsplash.com/photo-1502685104226-ee32379fefbe,12,Powerful dark magic witch queen ruling her cursed domain.,"Dark witch queen portrait, obsidian thorned crown, shadow and black flame magic, gothic castle throne, ravens circling, ultra detailed, cinematic horror","blurry, low quality, bright cheerful, watermark, friendly"
Basketball Legend,Sports,https://images.unsplash.com/photo-1546961342-ea5f60b193ca,12,NBA-level basketball superstar portrait.,"Basketball player portrait, NBA arena hardwood court, dramatic spotlights, athletic uniform, dynamic explosive action pose, ultra detailed, cinematic sports","blurry, low quality, static pose, watermark, outdoor casual"
Soccer Champion,Sports,https://images.unsplash.com/photo-1471295253337-3ceaaedca402,12,World Cup football champion glory portrait.,"Soccer football champion portrait, packed stadium setting, national team jersey, golden trophy, victory celebration, dramatic stadium lighting, ultra detailed","blurry, low quality, static, watermark, empty stadium"
Boxing Fighter,Sports,https://images.unsplash.com/photo-1549924231-f129b911e442,12,Elite professional boxing champion in the ring.,"Professional boxer portrait, red boxing gloves raised, spotlight boxing ring, intense warrior expression, sweat and determination, dramatic shadows, ultra detailed","blurry, low quality, peaceful, watermark, casual street"
Tennis Pro,Sports,https://images.unsplash.com/photo-1554068865-24cecd4e34b8,10,Wimbledon-level tennis champion serving for the title.,"Professional tennis player portrait, Centre Court grass setting, white tennis racket raised, athletic whites, dynamic serve pose, natural sunlight, ultra detailed","blurry, low quality, static, watermark, indoor gym"
Olympic Swimmer,Sports,https://images.unsplash.com/photo-1530549387789-4c1017266635,12,Olympic gold medal swimmer breaking world records.,"Olympic swimmer portrait, competition pool lane, racing goggles cap and suit, starting block, water explosion action, dramatic sports lighting, ultra detailed","blurry, low quality, static, watermark, dry land"
Oil Painting Master,Art Styles,https://images.unsplash.com/photo-1579783902614-a3fb3927b6a5,15,Classic old masters oil painting portrait.,"Oil painting portrait, old masters technique, impasto texture visible, Rembrandt three-point dramatic lighting, rich earthy palette, museum-quality masterpiece","blurry, low quality, modern digital, watermark, flat"
Watercolor Dream,Art Styles,https://images.unsplash.com/photo-1558618666-fcd25c85cd64,12,Delicate luminous watercolor painting portrait.,"Watercolor portrait painting, soft flowing wet-on-wet colors, white paper showing through, loose artistic brush strokes, dreamy pastel harmony, fine art quality","blurry, low quality, harsh digital, watermark, oil paint"
Pop Art Portrait,Art Styles,https://images.unsplash.com/photo-1541961017774-22349e4a1262,12,Andy Warhol inspired bold pop art portrait.,"Pop art portrait, Warhol silkscreen style, bold flat graphic colors, halftone dot pattern, high-contrast graphic design, iconic pop culture aesthetic, masterpiece","realistic, blurry, low quality, watermark, muted subtle"
Impressionist Monet,Art Styles,https://images.unsplash.com/photo-1579783901586-d88db74b4fe4,15,Claude Monet-style impressionist painted portrait.,"Impressionist painting portrait, Monet plein air style, loose visible comma brushstrokes, soft dappled garden light, water lily pond setting, fine art masterpiece","blurry, low quality, digital, watermark, sharp hard edges"
Baroque Grandeur,Art Styles,https://images.unsplash.com/photo-1507003211169-0a1dd7228f2d,15,Lavish Baroque era painted portrait with dramatic lighting.,"Baroque portrait painting, dramatic Caravaggio chiaroscuro, gilded ornate frame, rich velvet and silk fabrics, pearls and jewels, old masters quality masterpiece","blurry, low quality, modern, watermark, flat even lighting"
Cubism Abstract,Art Styles,https://images.unsplash.com/photo-1564679177483-8a55d15f68ec,12,Abstract Picasso-inspired cubist portrait.,"Cubist portrait painting, Picasso analytical cubism style, geometric fragmented planes and forms, multiple viewpoints simultaneously, art historical masterpiece","realistic, blurry, low quality, watermark, photography"
Fine Ink Sketch,Art Styles,https://images.unsplash.com/photo-1516280440614-37939bbacd81,10,Highly detailed fine ink pen portrait sketch.,"Fine ink sketch portrait, precise pen line work, intricate cross-hatching shading technique, white paper texture visible, artist studio, ultra detailed draughtsmanship","blurry, low quality, color, watermark, photography"
Queen Royal,Royalty,https://images.unsplash.com/photo-1487412720507-e7ab37603c6f,18,Regal queen adorned with crown and priceless jewels.,"Royal queen portrait, diamond and ruby crown, gilded throne room, full silk ball gown, golden scepter, ultra detailed, cinematic royal portrait masterpiece","blurry, low quality, casual, watermark, deformed"
Prince Charming,Royalty,https://images.unsplash.com/photo-1568602471122-7832951cc4c5,15,Dashing royal prince in ceremonial dress.,"Royal prince portrait, grand palace interior, military dress uniform, service medals and sash, noble confident pose, ultra detailed, cinematic royal portrait","blurry, low quality, casual, watermark, deformed face"
Imperial Empress,Royalty,https://images.unsplash.com/photo-1580489944761-15a19d654956,18,Majestic empress commanding a vast empire.,"Imperial empress portrait, elaborate jeweled crown, ermine-trimmed royal robes, palace throne room gold columns, divine golden light, ultra detailed masterpiece","blurry, low quality, casual, watermark, simple plain"
